SampleName,cAngles_ch1_1,cAngles_ch1_2,cAngles_ch2_1,cAngles_ch2_2,R_ch1,R_ch2,R_int,C_ch1_x,C_ch1_y,C_ch2_x,C_ch2_y,C_Int_x,C_Int_y,intT_A_AB,intT_B_AB,avg_ch1,avg_ch2,theta,cos_theta2
11,106.696959354311,106.805575763671,104.811803547963,104.703187138602,53.2253273580999,65.0307237938143,151.768009544618,297.639291378628,311.851114958747,284.039340735413,280.625008017779,355.935507199175,445.317290421899,1.85028517952678,1.83220803511296,106.751267558991,104.757495343283,148.491237097726,0.271514048743531
11,107.344980093853,107.450109891709,104.898895137388,104.793765339533,72.250690893246,79.4410398976681,390.395438437013,253.36948776522,238.090382776788,228.698469645975,203.257495622432,470.526305086189,544.062566203967,1.81175789985923,1.78858486206142,107.397544992781,104.84633023846,147.756124768759,0.277682499569324
11,114.226077218409,114.180807670544,111.966678859744,112.011948407609,53.2253273580999,37.0708216876401,100.477143037177,297.639291378628,311.851114958747,311.533814858666,347.6619914414,345.193790121552,434.533166293388,1.28486734855896,1.26386306042356,114.203442444477,111.989313633676,133.807243921847,0.392278969171741
11,115.00969600537,115.039071666497,98.2256457544848,98.1962700933575,59.6742293905943,79.4410398976681,105.814012167921,184.647294629938,204.30112928696,228.698469645975,203.257495622432,87.6399893090063,206.632044695209,1.80585000337968,1.65327884640121,115.024383835933,98.2109579239212,146.764658240145,0.285983914904713
11,118.1793697247,118.194391434822,106.34769796427,106.332676254148,72.250690893246,65.0307237938143,2576.92073338519,253.36948776522,238.090382776788,284.039340735413,280.625008017779,1781.22115990455,2356.42068190112,1.36843276873697,1.25692190217285,118.186880579761,106.340187109209,135.47293231103,0.378867228845251
13,111.378024732454,111.416093828338,111.098079470944,111.06001037506,38.4708407783146,57.7147461909466,83.1347664685862,102.781185694816,114.006178471698,118.062091233711,150.09267794734,72.4007757282186,42.3413512692773,1.38176972624824,1.37879231547571,111.397059280396,111.079044923002,137.523895796602,0.362243678650955
13,112.645879686257,112.787077703622,98.5105003156361,98.3693022982718,44.9921383871178,57.7147461909466,86.1956314871721,136.645940327255,173.875287272331,118.062091233711,150.09267794734,186.222567515073,237.119364117119,1.91189968237699,1.78289613065501,112.71647869494,98.439901306954,148.843619998107,0.268553167248427
14,141.591764254858,141.494766145497,120.461565142791,120.364567033429,66.7639618968493,50.1963186527137,683.621539618492,133.785613630889,141.821437706767,148.789365067056,119.460015065909,-219.235211520517,666.918845352292,0.870967075588138,0.628102955916112,141.543265200178,120.41306608811,98.0436687117122,0.655771375576799
15,111.765514380047,111.70837285951,100.107410614498,100.164552135035,58.3046448973516,41.1341244112391,92.6676755484348,118.751621548078,129.485147797122,139.706449529183,105.423763454362,201.830655835227,34.1674953099771,1.8642494332089,1.75914529011143,111.736943619779,100.135981374766,148.127075005455,0.274571206334084
16,104.539445284031,104.658679745643,113.07566485901,112.956430397398,50.3399708580258,72.953333173393,121.591409842477,164.435279030841,200.884132817845,148.833547635237,158.519622305394,205.801413437947,312.80747222755,1.50796955390691,1.58549490511436,104.599062514837,113.016047628204,142.384889856959,0.32239051842659
